166,83,56,65
174,80,56,65
176,77,56,65
183,74,56,65
191,68,56,65
191,56,56,65
184,39,56,65
177,37,56,65
161,42,56,65
156,58,56,65
155,65,56,65
151,70,56,65
149,76,56,65
147,85,56,65
156,86,56,65
169,85,56,65
193,84,56,65
196,89,56,65
195,83,56,65
193,83,56,65
187,82,56,65
170,81,56,65
156,84,56,65
149,91,56,65
145,90,56,65
146,91,56,65
154,84,56,65
156,89,56,65
167,111,56,65
145,110,56,65
135,104,56,65
131,80,56,65
139,80,56,65
149,82,56,65
161,85,56,65
176,90,56,65
187,90,56,65
189,94,56,65
177,92,56,65
182,89,56,65
160,94,56,65
141,85,56,65
149,78,56,65
148,80,56,65
139,59,56,65
152,50,56,65
143,39,56,65
136,62,56,65
149,49,56,65
167,54,56,65
185,71,56,65
191,95,56,65
211,104,56,65
191,114,56,65
195,113,56,65
205,99,56,65
212,99,56,65
217,102,56,65
217,106,56,65
215,102,56,65
207,108,56,65
196,123,56,65
179,105,56,65
173,111,56,65
168,87,56,65
153,68,56,65
146,47,56,65
135,26,56,65
133,26,56,65
151,36,56,65
157,37,56,65
159,41,56,65
161,32,56,65
171,21,56,65
187,17,56,65
200,30,56,65
205,41,56,65
204,44,56,65
205,44,56,65
209,51,56,65
193,68,56,65
189,87,56,65
165,90,56,65
175,89,56,65
177,90,56,65
198,93,56,65
205,86,56,65
224,70,56,65
211,91,56,65
192,79,56,65
199,102,56,65
210,113,56,65
224,104,56,65
223,81,56,65
240,86,56,65
256,86,56,65
262,94,56,65
252,107,56,65
230,105,56,65
232,94,56,65
232,71,56,65
229,72,56,65
233,71,56,65
256,62,56,65
257,66,56,65
259,70,56,65
259,73,56,65
258,76,56,65
259,75,56,65
259,75,56,65
274,81,56,65
283,96,56,65
